   Step          Temp          Press          Volume        Density         TotEng         PotEng         KinEng    
    196000   2729.1535     -3042.5392      247312.31      0.80083508    -209457.4      -211367.3       1909.901     
    197000   2733.7952     -305.13123      247325.5       0.80079237    -209433.17     -211346.32      1913.1493    
    198000   2782.6351     -209.1731       247362.48      0.80067266    -209408.31     -211355.64      1947.3282    
    199000   2804.9559      513.10637      247413.75      0.80050675    -209382.55     -211345.5       1962.9486    
    200000   2791.4445     -579.08009      247459.37      0.80035916    -209356.5      -211310         1953.4931    
    201000   2845.4914      826.5599       247459.79      0.80035782    -209330.01     -211321.33      1991.3159    
    202000   2889.942      -353.3172       247487.15      0.80026934    -209302.81     -211325.23      2022.4231    
    203000   2855.3525     -1252.014       247508.77      0.80019942    -209275.3      -211273.51      1998.2169    
    204000   2874.2279      267.21071      247542.26      0.80009117    -209247.56     -211258.99      2011.4262    
    205000   2904.2441      678.75367      247602.33      0.79989707    -209219.37     -211251.8       2032.4319    
    206000   2932.3797     -1329.9113      247598.45      0.7999096     -209191.2      -211243.32      2052.1216    
    207000   2959.2144     -1217.8512      247571.1       0.79999797    -209162.83     -211233.73      2070.9009    
    208000   2972.9753     -73.494753      247393.87      0.80057107    -209134.46     -211214.99      2080.531     
    209000   3034.8045     -282.26795      247258.11      0.80101063    -209105.98     -211229.78      2123.8       
    210000   2972.2132     -937.31031      247133.14      0.80141568    -209077.58     -211157.58      2079.9977    
    211000   2995.2143     -2177.357       247020.91      0.80177979    -209049.18     -211145.27      2096.0942    
    212000   3033.9823      88.584222      246929.63      0.80207618    -209020.99     -211144.21      2123.2246    
    213000   3094.1442     -1036.6509      246822.05      0.80242579    -208993.05     -211158.38      2165.3268    
    214000   3056.5396     -834.18037      246729.39      0.80272713    -208965.35     -211104.36      2139.0105    
    215000   3107.0126      1033.4042      246615.27      0.80309859    -208938.1      -211112.43      2174.3323    
    216000   3097.9601      386.13356      246524.56      0.8033941     -208911.33     -211079.32      2167.9972    
    217000   3099.9395     -2127.2727      246478.74      0.80354344    -208884.96     -211054.35      2169.3823    
    218000   3157.0347     -730.3673       246478.31      0.80354486    -208859.15     -211068.48      2209.3384    
    219000   3223.6438     -116.10143      246546.01      0.8033242     -208833.86     -211089.81      2255.9524    
    220000   3185.6044      1391.8295      246594.4       0.80316657    -208809.18     -211038.52      2229.3319    
    221000   3207.7414     -3030.917       246652.12      0.80297861    -208785.24     -211030.06      2244.8237    
    222000   3234.8155     -545.83987      246723.64      0.80274585    -208762.17     -211025.94      2263.7705    
    223000   3269.5098      2472.8843      246729.9       0.80272548    -208739.81     -211027.86      2288.0502    
    224000   3239.2964      465.86559      246713.17      0.80277991    -208718.32     -210985.23      2266.9063    
    225000   3238.255       1673.8034      246666.47      0.8029319     -208697.67     -210963.85      2266.1776    
    226000   3281.0028     -2499.7069      246645.33      0.8030007     -208678.23     -210974.33      2296.0931    
    227000   3273.586      -1075.6188      246568.1       0.80325223    -208659.52     -210950.42      2290.9027    
    228000   3291.5078     -237.54383      246420.08      0.80373472    -208642.17     -210945.61      2303.4447    
    229000   3300.2049     -1140.0269      246340.39      0.80399474    -208625.83     -210935.36      2309.531     
