#VDH_NBS 
 4940  atoms
 4  atom types
 -2.0 45.666300  xlo xhi 
 -2.0 45.666300  ylo yhi 
 -2.0 45.666300  zlo zhi 
 Masses 
 
 1  22.98900 
 2  10.81100 
 3  28.08550 
 4  15.99940 

 Atoms

    180      1 0.4725000000 32.6576800000  34.1894700000  27.3862100000 
    181      1 0.4725000000 39.0630100000  5.7223500000  36.2799800000 
    182      1 0.4725000000 11.2674800000  20.3168700000  7.1664200000 
    183      1 0.4725000000 12.5196600000  0.2146600000  40.0183100000 
    184      1 0.4725000000 25.3378400000  27.3496000000  31.3504800000 
    185      1 0.4725000000 22.5250600000  8.1701200000  36.8968000000 
    186      1 0.4725000000 26.6761400000  10.2065000000  0.7615200000 
    187      1 0.4725000000 37.4736400000  38.0450900000  23.4612700000 
    188      1 0.4725000000 33.8302600000  14.6664100000  17.4953700000 
    189      1 0.4725000000 9.2868400000  11.9148400000  41.4910000000 
    190      1 0.4725000000 19.3263000000  39.6590200000  33.5552700000 
    191      1 0.4725000000 29.0527800000  18.3708500000  39.6274100000 
    192      1 0.4725000000 11.6044400000  11.8717100000  29.8043300000 
    193      1 0.4725000000 5.0843500000  4.6360700000  2.3978800000 
    194      1 0.4725000000 27.5815400000  42.4583000000  36.1745900000 
    195      1 0.4725000000 16.8353900000  24.9974300000  22.9094200000 
    196      1 0.4725000000 25.6829600000  40.8317000000  10.1575200000 
    197      1 0.4725000000 15.3522200000  2.2637900000  33.8138600000 
    198      1 0.4725000000 4.4417700000  7.0275200000  30.3224600000 
    199      1 0.4725000000 29.5579600000  41.9019200000  26.9026600000 
    200      1 0.4725000000 4.2658700000  41.3619500000  25.0418400000 
    201      1 0.4725000000 39.5575000000  16.4544300000  36.6193200000 
    202      1 0.4725000000 31.4989900000  39.4748700000  27.2404800000 
    203      1 0.4725000000 30.5868000000  6.9487400000  13.1441600000 
    204      1 0.4725000000 23.1417800000  3.3626200000  1.5995300000 
    205      1 0.4725000000 13.6141200000  15.6308200000  2.5096600000 
    206      1 0.4725000000 10.0073100000  8.8861100000  5.8601500000 
    207      1 0.4725000000 38.3897600000  14.5311300000  40.3772500000 
    208      1 0.4725000000 19.3606200000  11.1955100000  10.4646700000 
    209      1 0.4725000000 6.5184200000  10.9400500000  2.9899100000 
    210      1 0.4725000000 21.2573800000  33.4175700000  15.8244500000 
    211      1 0.4725000000 30.9125800000  20.3609200000  13.5528600000 
    212      1 0.4725000000 19.0136500000  24.6335400000  13.8643200000 
    213      1 0.4725000000 14.4254100000  20.3643900000  40.0929200000 
    214      1 0.4725000000 15.3914400000  42.3008600000  17.1963200000 
    215      1 0.4725000000 12.7388200000  30.0662900000  6.9174700000 
    216      1 0.4725000000 26.8358600000  26.6209800000  10.9552300000 
    217      1 0.4725000000 5.5910600000  20.3063400000  9.9427900000 
    218      1 0.4725000000 41.2169400000  32.3999100000  28.6849500000 
    219      1 0.4725000000 3.8174900000  20.9235600000  7.3778800000 
    220      1 0.4725000000 39.9931300000  39.7125500000  24.4559100000 
    221      1 0.4725000000 11.9993400000  2.8887800000  18.8017400000 
    222      1 0.4725000000 15.4452900000  9.0008000000  14.6066200000 
    223      1 0.4725000000 33.0168400000  4.7275400000  24.3012500000 
    224      1 0.4725000000 41.0554000000  26.2451100000  16.9833400000 
    225      1 0.4725000000 41.2227900000  41.2037800000  36.4490600000 
    226      1 0.4725000000 4.8431600000  12.8078400000  37.6269800000 
    227      1 0.4725000000 32.9898900000  39.0699200000  19.2988900000 
    228      1 0.4725000000 27.1066700000  0.2916900000  2.5426100000 
    229      1 0.4725000000 5.3371600000  40.1604500000  15.4148200000 
    230      1 0.4725000000 21.3500800000  3.2497500000  36.6207200000 
    231      1 0.4725000000 35.2858800000  3.5739600000  38.0735800000 
    232      1 0.4725000000 2.3344000000  31.6313700000  1.2352400000 
    233      1 0.4725000000 31.8146400000  40.0284900000  30.3201500000 
    234      1 0.4725000000 2.5399800000  1.9636700000  13.0153000000 
    235      1 0.4725000000 18.7402200000  14.2055000000  15.8147300000 
    236      1 0.4725000000 34.6526700000  3.5356800000  35.0218400000 
    237      1 0.4725000000 0.4270900000  42.5666800000  27.3540900000 
    238      1 0.4725000000 39.8439800000  33.5596500000  15.6232800000 
